Entidad federativa,Grupos quinquenales de edad,Estimador,Población total,Hombres,Mujeres
Estados Unidos Mexicanos,45-49 años,Límite superior de confianza,"6,857,346","3,235,355","3,624,864"
Estados Unidos Mexicanos,45-49 años,Coeficiente de variación,0.39,0.42,0.41
Estados Unidos Mexicanos,45-49 años,DEFF,1.9,2,1.95
Estados Unidos Mexicanos,50-54 años,Valor,"6,155,306","2,898,347","3,256,959"
Estados Unidos Mexicanos,50-54 años,Error estándar,"23,627","12,043","13,340"
Estados Unidos Mexicanos,50-54 años,Límite inferior de confianza,"6,116,443","2,878,538","3,235,017"
Estados Unidos Mexicanos,50-54 años,Límite superior de confianza,"6,194,169","2,918,156","3,278,901"
Estados Unidos Mexicanos,50-54 años,Coeficiente de variación,0.38,0.42,0.41
Estados Unidos Mexicanos,50-54 años,DEFF,1.87,1.97,1.94
Estados Unidos Mexicanos,55-59 años,Valor,"4,846,762","2,277,011","2,569,751"
Estados Unidos Mexicanos,55-59 años,Error estándar,"19,034","9,734","10,999"
Estados Unidos Mexicanos,55-59 años,Límite inferior de confianza,"4,815,453","2,261,000","2,551,660"
Estados Unidos Mexicanos,55-59 años,Límite superior de confianza,"4,878,071","2,293,022","2,587,842"
Estados Unidos Mexicanos,55-59 años,Coeficiente de variación,0.39,0.43,0.43
Estados Unidos Mexicanos,55-59 años,DEFF,1.9,2,2.02
Estados Unidos Mexicanos,60-64 años,Valor,"3,889,755","1,824,754","2,065,001"
Estados Unidos Mexicanos,60-64 años,Error estándar,"16,090","8,243","9,526"
Estados Unidos Mexicanos,60-64 años,Límite inferior de confianza,"3,863,290","1,811,196","2,049,333"
Estados Unidos Mexicanos,60-64 años,Límite superior de confianza,"3,916,220","1,838,312","2,080,669"
Estados Unidos Mexicanos,60-64 años,Coeficiente de variación,0.41,0.45,0.46
Estados Unidos Mexicanos,60-64 años,DEFF,1.99,2.08,2.15
Estados Unidos Mexicanos,65-69 años,Valor,"2,987,316","1,395,947","1,591,369"
Estados Unidos Mexicanos,65-69 años,Error estándar,"12,544","6,619","7,565"
Estados Unidos Mexicanos,65-69 años,Límite inferior de confianza,"2,966,682","1,385,060","1,578,925"
Estados Unidos Mexicanos,65-69 años,Límite superior de confianza,"3,007,950","1,406,834","1,603,813"
Estados Unidos Mexicanos,65-69 años,Coeficiente de variación,0.42,0.47,0.48
Estados Unidos Mexicanos,65-69 años,DEFF,1.95,2.11,2.13
Estados Unidos Mexicanos,70-74 años,Valor,"2,207,466","1,026,937","1,180,529"
Estados Unidos Mexicanos,70-74 años,Error estándar,"9,961","5,298","6,102"
Estados Unidos Mexicanos,70-74 años,Límite inferior de confianza,"2,191,081","1,018,222","1,170,492"
Estados Unidos Mexicanos,70-74 años,Límite superior de confianza,"2,223,851","1,035,652","1,190,566"
Estados Unidos Mexicanos,70-74 años,Coeficiente de variación,0.45,0.52,0.52
Estados Unidos Mexicanos,70-74 años,DEFF,2.05,2.18,2.24
Estados Unidos Mexicanos,75 años y más,Valor,"3,351,784","1,502,661","1,849,123"
Estados Unidos Mexicanos,75 años y más,Error estándar,"13,639","6,658","8,530"
Estados Unidos Mexicanos,75 años y más,Límite inferior de confianza,"3,329,350","1,491,710","1,835,093"
Estados Unidos Mexicanos,75 años y más,Límite superior de confianza,"3,374,218","1,513,612","1,863,153"
Estados Unidos Mexicanos,75 años y más,Coeficiente de variación,0.41,0.44,0.46
Estados Unidos Mexicanos,75 años y más,DEFF,1.75,1.81,1.94
Estados Unidos Mexicanos,No especificado,Valor,"86,769","42,394","44,375"
Estados Unidos Mexicanos,No especificado,Error estándar,"3,521","1,807","1,891"
Estados Unidos Mexicanos,No especificado,Límite inferior de confianza,"80,978","39,422","41,264"
Estados Unidos Mexicanos,No especificado,Límite superior de confianza,"92,560","45,366","47,486"
Estados Unidos Mexicanos,No especificado,Coeficiente de variación,4.06,4.26,4.26
Estados Unidos Mexicanos,No especificado,DEFF,2.55,2.59,2.59
01 Aguascalientes,Total,Valor,"1,312,544","640,091","672,453"
01 Aguascalientes,Total,Error estándar,"28,332","14,014","14,595"
01 Aguascalientes,Total,Límite inferior de confianza,"1,265,918","617,028","648,433"
01 Aguascalientes,Total,Límite superior de confianza,"1,359,170","663,154","696,473"
01 Aguascalientes,Total,Coeficiente de variación,2.16,2.19,2.17
01 Aguascalientes,Total,DEFF,2.22,0.98,0.98
01 Aguascalientes,00-04 años,Valor,"127,419","65,071","62,348"
01 Aguascalientes,00-04 años,Error estándar,"3,256","1,843","1,756"
01 Aguascalientes,00-04 años,Límite inferior de confianza,"122,061","62,038","59,458"
01 Aguascalientes,00-04 años,Límite superior de confianza,"132,777","68,104","65,238"
01 Aguascalientes,00-04 años,Coeficiente de variación,2.56,2.83,2.82
01 Aguascalientes,00-04 años,DEFF,0.79,0.9,0.88
01 Aguascalientes,05-09 años,Valor,"126,079","63,642","62,437"
01 Aguascalientes,05-09 años,Error estándar,"3,085","1,709","1,686"
01 Aguascalientes,05-09 años,Límite inferior de confianza,"121,002","60,829","59,662"
01 Aguascalientes,05-09 años,Límite superior de confianza,"131,156","66,455","65,212"
01 Aguascalientes,05-09 años,Coeficiente de variación,2.45,2.69,2.7
01 Aguascalientes,05-09 años,DEFF,0.73,0.8,0.83
01 Aguascalientes,10-14 años,Valor,"136,077","68,435","67,642"
01 Aguascalientes,10-14 años,Error estándar,"3,629","2,073","1,938"
01 Aguascalientes,10-14 años,Límite inferior de confianza,"130,105","65,023","64,453"
01 Aguascalientes,10-14 años,Límite superior de confianza,"142,049","71,847","70,831"
01 Aguascalientes,10-14 años,Coeficiente de variación,2.67,3.03,2.86
01 Aguascalientes,10-14 años,DEFF,0.85,0.99,0.93
01 Aguascalientes,15-19 años,Valor,"127,474","64,603","62,871"
01 Aguascalientes,15-19 años,Error estándar,"3,549","1,984","1,856"
01 Aguascalientes,15-19 años,Límite inferior de confianza,"121,633","61,337","59,816"
01 Aguascalientes,15-19 años,Límite superior de confianza,"133,315","67,869","65,926"
01 Aguascalientes,15-19 años,Coeficiente de variación,2.78,3.07,2.95
01 Aguascalientes,15-19 años,DEFF,0.92,1.02,0.97
01 Aguascalientes,20-24 años,Valor,"122,216","61,157","61,059"
01 Aguascalientes,20-24 años,Error estándar,"3,320","1,760","1,843"
01 Aguascalientes,20-24 años,Límite inferior de confianza,"116,752","58,260","58,026"
01 Aguascalientes,20-24 años,Límite superior de confianza,"127,680","64,054","64,092"
01 Aguascalientes,20-24 años,Coeficiente de variación,2.72,2.88,3.02
01 Aguascalientes,20-24 años,DEFF,0.91,0.95,1.03
01 Aguascalientes,25-29 años,Valor,"103,494","50,468","53,026"
01 Aguascalientes,25-29 años,Error estándar,"2,898","1,570","1,582"
01 Aguascalientes,25-29 años,Límite inferior de confianza,"98,725","47,885","50,423"
01 Aguascalientes,25-29 años,Límite superior de confianza,"108,263","53,051","55,629"
01 Aguascalientes,25-29 años,Coeficiente de variación,2.8,3.11,2.98
01 Aguascalientes,25-29 años,DEFF,0.96,1.09,1.02
