Entidad federativa,Grupos quinquenales de edad,Estimador,Población total,Hombres,Mujeres
06 Colima,40-44 años,Límite inferior de confianza,"47,934","23,198","24,523"
06 Colima,40-44 años,Límite superior de confianza,"52,274","25,462","27,025"
06 Colima,40-44 años,Coeficiente de variación,2.63,2.83,2.95
06 Colima,40-44 años,DEFF,0.72,0.75,0.81
06 Colima,45-49 años,Valor,"39,782","19,189","20,593"
06 Colima,45-49 años,Error estándar,"1,077",586,641
06 Colima,45-49 años,Límite inferior de confianza,"38,010","18,225","19,538"
06 Colima,45-49 años,Límite superior de confianza,"41,554","20,153","21,648"
06 Colima,45-49 años,Coeficiente de variación,2.71,3.05,3.11
06 Colima,45-49 años,DEFF,0.73,0.81,0.84
06 Colima,50-54 años,Valor,"37,957","18,275","19,682"
06 Colima,50-54 años,Error estándar,"1,026",563,611
06 Colima,50-54 años,Límite inferior de confianza,"36,268","17,348","18,677"
06 Colima,50-54 años,Límite superior de confianza,"39,646","19,202","20,687"
06 Colima,50-54 años,Coeficiente de variación,2.7,3.08,3.1
06 Colima,50-54 años,DEFF,0.74,0.82,0.85
06 Colima,55-59 años,Valor,"28,866","14,098","14,768"
06 Colima,55-59 años,Error estándar,884,500,535
06 Colima,55-59 años,Límite inferior de confianza,"27,411","13,274","13,887"
06 Colima,55-59 años,Límite superior de confianza,"30,321","14,922","15,649"
06 Colima,55-59 años,Coeficiente de variación,3.06,3.55,3.62
06 Colima,55-59 años,DEFF,0.86,0.98,0.99
06 Colima,60-64 años,Valor,"23,467","11,487","11,980"
06 Colima,60-64 años,Error estándar,758,434,465
06 Colima,60-64 años,Límite inferior de confianza,"22,219","10,773","11,214"
06 Colima,60-64 años,Límite superior de confianza,"24,715","12,201","12,746"
06 Colima,60-64 años,Coeficiente de variación,3.23,3.78,3.88
06 Colima,60-64 años,DEFF,0.89,1.04,1.03
06 Colima,65-69 años,Valor,"17,467","8,288","9,179"
06 Colima,65-69 años,Error estándar,665,386,392
06 Colima,65-69 años,Límite inferior de confianza,"16,373","7,653","8,534"
06 Colima,65-69 años,Límite superior de confianza,"18,561","8,923","9,824"
06 Colima,65-69 años,Coeficiente de variación,3.8,4.66,4.27
06 Colima,65-69 años,DEFF,1.01,1.17,1.09
06 Colima,70-74 años,Valor,"12,210","5,953","6,257"
06 Colima,70-74 años,Error estándar,494,293,295
06 Colima,70-74 años,Límite inferior de confianza,"11,397","5,471","5,772"
06 Colima,70-74 años,Límite superior de confianza,"13,023","6,435","6,742"
06 Colima,70-74 años,Coeficiente de variación,4.04,4.92,4.71
06 Colima,70-74 años,DEFF,1,1.11,1.11
06 Colima,75 años y más,Valor,"19,051","8,574","10,477"
06 Colima,75 años y más,Error estándar,695,339,475
06 Colima,75 años y más,Límite inferior de confianza,"17,908","8,017","9,695"
06 Colima,75 años y más,Límite superior de confianza,"20,194","9,131","11,259"
06 Colima,75 años y más,Coeficiente de variación,3.65,3.95,4.53
06 Colima,75 años y más,DEFF,0.95,0.94,1.17
06 Colima,No especificado,Valor,383,192,191
06 Colima,No especificado,Error estándar,113,67,56
06 Colima,No especificado,Límite inferior de confianza,197,82,99
06 Colima,No especificado,Límite superior de confianza,569,302,283
06 Colima,No especificado,Coeficiente de variación,29.46,34.72,29.2
06 Colima,No especificado,DEFF,1.62,1.65,1.4
07 Chiapas,Total,Valor,"5,217,908","2,536,721","2,681,187"
07 Chiapas,Total,Error estándar,"48,877","23,493","25,660"
07 Chiapas,Total,Límite inferior de confianza,"5,137,508","2,498,077","2,638,978"
07 Chiapas,Total,Límite superior de confianza,"5,298,308","2,575,365","2,723,396"
07 Chiapas,Total,Coeficiente de variación,0.94,0.93,0.96
07 Chiapas,Total,DEFF,1.57,1,1.07
07 Chiapas,00-04 años,Valor,"585,445","294,903","290,542"
07 Chiapas,00-04 años,Error estándar,"5,853","3,077","3,085"
07 Chiapas,00-04 años,Límite inferior de confianza,"575,817","289,842","285,468"
07 Chiapas,00-04 años,Límite superior de confianza,"595,073","299,964","295,616"
07 Chiapas,00-04 años,Coeficiente de variación,1,1.04,1.06
07 Chiapas,00-04 años,DEFF,0.68,0.72,0.73
07 Chiapas,05-09 años,Valor,"587,491","296,797","290,694"
07 Chiapas,05-09 años,Error estándar,"5,581","2,992","2,949"
07 Chiapas,05-09 años,Límite inferior de confianza,"578,310","291,875","285,842"
07 Chiapas,05-09 años,Límite superior de confianza,"596,672","301,719","295,546"
07 Chiapas,05-09 años,Coeficiente de variación,0.95,1.01,1.01
07 Chiapas,05-09 años,DEFF,0.62,0.68,0.68
07 Chiapas,10-14 años,Valor,"567,499","286,117","281,382"
07 Chiapas,10-14 años,Error estándar,"5,721","3,025","3,087"
07 Chiapas,10-14 años,Límite inferior de confianza,"558,089","281,141","276,304"
07 Chiapas,10-14 años,Límite superior de confianza,"576,909","291,093","286,460"
07 Chiapas,10-14 años,Coeficiente de variación,1.01,1.06,1.1
07 Chiapas,10-14 años,DEFF,0.74,0.77,0.82
07 Chiapas,15-19 años,Valor,"526,322","261,783","264,539"
07 Chiapas,15-19 años,Error estándar,"5,404","2,813","2,923"
07 Chiapas,15-19 años,Límite inferior de confianza,"517,433","257,156","259,730"
07 Chiapas,15-19 años,Límite superior de confianza,"535,211","266,410","269,348"
07 Chiapas,15-19 años,Coeficiente de variación,1.03,1.07,1.11
07 Chiapas,15-19 años,DEFF,0.83,0.87,0.9
07 Chiapas,20-24 años,Valor,"476,367","226,548","249,819"
07 Chiapas,20-24 años,Error estándar,"5,187","2,569","2,922"
07 Chiapas,20-24 años,Límite inferior de confianza,"467,835","222,323","245,013"
07 Chiapas,20-24 años,Límite superior de confianza,"484,899","230,773","254,625"
07 Chiapas,20-24 años,Coeficiente de variación,1.09,1.13,1.17
07 Chiapas,20-24 años,DEFF,1.01,1.04,1.09
07 Chiapas,25-29 años,Valor,"400,637","184,407","216,230"
07 Chiapas,25-29 años,Error estándar,"4,365","2,175","2,461"
07 Chiapas,25-29 años,Límite inferior de confianza,"393,458","180,830","212,182"
07 Chiapas,25-29 años,Límite superior de confianza,"407,816","187,984","220,278"
07 Chiapas,25-29 años,Coeficiente de variación,1.09,1.18,1.14
07 Chiapas,25-29 años,DEFF,1.02,1.1,1.07
07 Chiapas,30-34 años,Valor,"375,232","175,009","200,223"
07 Chiapas,30-34 años,Error estándar,"4,327","2,239","2,365"
07 Chiapas,30-34 años,Límite inferior de confianza,"368,114","171,327","196,333"
07 Chiapas,30-34 años,Límite superior de confianza,"382,350","178,691","204,113"
07 Chiapas,30-34 años,Coeficiente de variación,1.15,1.28,1.18
07 Chiapas,30-34 años,DEFF,1.17,1.32,1.17
07 Chiapas,35-39 años,Valor,"343,684","158,614","185,070"
07 Chiapas,35-39 años,Error estándar,"3,853","1,815","2,300"
07 Chiapas,35-39 años,Límite inferior de confianza,"337,346","155,628","181,286"
07 Chiapas,35-39 años,Límite superior de confianza,"350,022","161,600","188,854"
07 Chiapas,35-39 años,Coeficiente de variación,1.12,1.14,1.24
07 Chiapas,35-39 años,DEFF,1.15,1.09,1.33
07 Chiapas,40-44 años,Valor,"298,276","141,844","156,432"
07 Chiapas,40-44 años,Error estándar,"3,461","1,798","1,901"
07 Chiapas,40-44 años,Límite inferior de confianza,"292,583","138,886","153,305"
07 Chiapas,40-44 años,Límite superior de confianza,"303,969","144,802","159,559"
07 Chiapas,40-44 años,Coeficiente de variación,1.16,1.27,1.22
07 Chiapas,40-44 años,DEFF,1.25,1.36,1.28
07 Chiapas,45-49 años,Valor,"248,859","116,811","132,048"
07 Chiapas,45-49 años,Error estándar,"3,020","1,487","1,771"
07 Chiapas,45-49 años,Límite inferior de confianza,"243,891","114,364","129,134"
07 Chiapas,45-49 años,Límite superior de confianza,"253,827","119,258","134,962"
07 Chiapas,45-49 años,Coeficiente de variación,1.21,1.27,1.34
07 Chiapas,45-49 años,DEFF,1.34,1.32,1.5
07 Chiapas,50-54 años,Valor,"214,134","102,774","111,360"
07 Chiapas,50-54 años,Error estándar,"2,585","1,321","1,492"
07 Chiapas,50-54 años,Límite inferior de confianza,"209,883","100,601","108,905"
07 Chiapas,50-54 años,Límite superior de confianza,"218,385","104,947","113,815"
07 Chiapas,50-54 años,Coeficiente de variación,1.21,1.29,1.34
07 Chiapas,50-54 años,DEFF,1.3,1.33,1.42
07 Chiapas,55-59 años,Valor,"166,524","80,456","86,068"
07 Chiapas,55-59 años,Error estándar,"2,000","1,071","1,187"
07 Chiapas,55-59 años,Límite inferior de confianza,"163,234","78,695","84,116"
07 Chiapas,55-59 años,Límite superior de confianza,"169,814","82,217","88,020"
07 Chiapas,55-59 años,Coeficiente de variación,1.2,1.33,1.38
07 Chiapas,55-59 años,DEFF,1.24,1.33,1.43
07 Chiapas,60-64 años,Valor,"133,446","65,700","67,746"
07 Chiapas,60-64 años,Error estándar,"1,737",993,985
07 Chiapas,60-64 años,Límite inferior de confianza,"130,588","64,066","66,126"
07 Chiapas,60-64 años,Límite superior de confianza,"136,304","67,334","69,366"
07 Chiapas,60-64 años,Coeficiente de variación,1.3,1.51,1.45
07 Chiapas,60-64 años,DEFF,1.36,1.57,1.43
07 Chiapas,65-69 años,Valor,"98,989","48,464","50,525"
07 Chiapas,65-69 años,Error estándar,"1,277",699,809
07 Chiapas,65-69 años,Límite inferior de confianza,"96,888","47,314","49,194"
07 Chiapas,65-69 años,Límite superior de confianza,"101,090","49,614","51,856"
07 Chiapas,65-69 años,Coeficiente de variación,1.29,1.44,1.6
07 Chiapas,65-69 años,DEFF,1.27,1.31,1.6
07 Chiapas,70-74 años,Valor,"78,997","38,447","40,550"
07 Chiapas,70-74 años,Error estándar,"1,034",578,660
07 Chiapas,70-74 años,Límite inferior de confianza,"77,297","37,496","39,464"
07 Chiapas,70-74 años,Límite superior de confianza,"80,697","39,398","41,636"
07 Chiapas,70-74 años,Coeficiente de variación,1.31,1.5,1.63
07 Chiapas,70-74 años,DEFF,1.18,1.26,1.47
07 Chiapas,75 años y más,Valor,"113,494","56,858","56,636"
07 Chiapas,75 años y más,Error estándar,"1,436",758,902
07 Chiapas,75 años y más,Límite inferior de confianza,"111,131","55,612","55,151"
07 Chiapas,75 años y más,Límite superior de confianza,"115,857","58,104","58,121"
07 Chiapas,75 años y más,Coeficiente de variación,1.27,1.33,1.59
07 Chiapas,75 años y más,DEFF,1.17,1.13,1.53
07 Chiapas,No especificado,Valor,"2,512","1,189","1,323"
07 Chiapas,No especificado,Error estándar,176,98,105
07 Chiapas,No especificado,Límite inferior de confianza,"2,223","1,028","1,150"
07 Chiapas,No especificado,Límite superior de confianza,"2,801","1,350","1,496"
07 Chiapas,No especificado,Coeficiente de variación,6.99,8.23,7.95
07 Chiapas,No especificado,DEFF,1.86,1.66,1.81
08 Chihuahua,Total,Valor,"3,556,574","1,752,275","1,804,299"
08 Chihuahua,Total,Error estándar,"62,071","30,727","31,720"
08 Chihuahua,Total,Límite inferior de confianza,"3,454,468","1,701,730","1,752,120"
08 Chihuahua,Total,Límite superior de confianza,"3,658,680","1,802,820","1,856,478"
08 Chihuahua,Total,Coeficiente de variación,1.75,1.75,1.76
08 Chihuahua,Total,DEFF,5.59,3.13,3.14
08 Chihuahua,00-04 años,Valor,"315,326","158,272","157,054"
08 Chihuahua,00-04 años,Error estándar,"6,617","3,569","3,532"
08 Chihuahua,00-04 años,Límite inferior de confianza,"304,441","152,402","151,244"
08 Chihuahua,00-04 años,Límite superior de confianza,"326,211","164,142","162,864"
08 Chihuahua,00-04 años,Coeficiente de variación,2.1,2.25,2.25
08 Chihuahua,00-04 años,DEFF,2.51,2.48,2.52
08 Chihuahua,05-09 años,Valor,"340,686","173,303","167,383"
08 Chihuahua,05-09 años,Error estándar,"7,610","3,981","4,062"
08 Chihuahua,05-09 años,Límite inferior de confianza,"328,168","166,754","160,702"
08 Chihuahua,05-09 años,Límite superior de confianza,"353,204","179,852","174,064"
08 Chihuahua,05-09 años,Coeficiente de variación,2.23,2.3,2.43
08 Chihuahua,05-09 años,DEFF,2.77,2.66,2.79
08 Chihuahua,10-14 años,Valor,"344,426","175,531","168,895"
08 Chihuahua,10-14 años,Error estándar,"7,619","4,175","3,908"
08 Chihuahua,10-14 años,Límite inferior de confianza,"331,892","168,663","162,466"
08 Chihuahua,10-14 años,Límite superior de confianza,"356,960","182,399","175,324"
08 Chihuahua,10-14 años,Coeficiente de variación,2.21,2.38,2.31
08 Chihuahua,10-14 años,DEFF,2.78,2.79,2.7
08 Chihuahua,15-19 años,Valor,"320,679","160,672","160,007"
08 Chihuahua,15-19 años,Error estándar,"6,487","3,451","3,544"
08 Chihuahua,15-19 años,Límite inferior de confianza,"310,007","154,995","154,178"
08 Chihuahua,15-19 años,Límite superior de confianza,"331,351","166,349","165,836"
08 Chihuahua,15-19 años,Coeficiente de variación,2.02,2.15,2.21
08 Chihuahua,15-19 años,DEFF,2.44,2.38,2.54
08 Chihuahua,20-24 años,Valor,"310,738","154,375","156,363"
08 Chihuahua,20-24 años,Error estándar,"6,180","3,393","3,249"
08 Chihuahua,20-24 años,Límite inferior de confianza,"300,572","148,794","151,018"
08 Chihuahua,20-24 años,Límite superior de confianza,"320,904","159,956","161,708"
08 Chihuahua,20-24 años,Coeficiente de variación,1.99,2.2,2.08
08 Chihuahua,20-24 años,DEFF,2.38,2.46,2.35
08 Chihuahua,25-29 años,Valor,"269,165","131,676","137,489"
08 Chihuahua,25-29 años,Error estándar,"5,425","2,869","2,951"
08 Chihuahua,25-29 años,Límite inferior de confianza,"260,240","126,956","132,635"
08 Chihuahua,25-29 años,Límite superior de confianza,"278,090","136,396","142,343"
08 Chihuahua,25-29 años,Coeficiente de variación,2.02,2.18,2.15
08 Chihuahua,25-29 años,DEFF,2.41,2.43,2.43
08 Chihuahua,30-34 años,Valor,"259,011","125,898","133,113"
08 Chihuahua,30-34 años,Error estándar,"6,149","3,014","3,459"
08 Chihuahua,30-34 años,Límite inferior de confianza,"248,896","120,940","127,422"
08 Chihuahua,30-34 años,Límite superior de confianza,"269,126","130,856","138,804"
08 Chihuahua,30-34 años,Coeficiente de variación,2.37,2.39,2.6
08 Chihuahua,30-34 años,DEFF,2.99,2.8,3.06
08 Chihuahua,35-39 años,Valor,"255,457","123,952","131,505"
08 Chihuahua,35-39 años,Error estándar,"6,244","3,205","3,338"
08 Chihuahua,35-39 años,Límite inferior de confianza,"245,185","118,680","126,014"
08 Chihuahua,35-39 años,Límite superior de confianza,"265,729","129,224","136,996"
08 Chihuahua,35-39 años,Coeficiente de variación,2.44,2.59,2.54
08 Chihuahua,35-39 años,DEFF,3,2.92,2.95
08 Chihuahua,40-44 años,Valor,"252,643","123,035","129,608"
08 Chihuahua,40-44 años,Error estándar,"5,784","3,022","3,065"
08 Chihuahua,40-44 años,Límite inferior de confianza,"243,128","118,064","124,566"
08 Chihuahua,40-44 años,Límite superior de confianza,"262,158","128,006","134,650"
08 Chihuahua,40-44 años,Coeficiente de variación,2.29,2.46,2.36
08 Chihuahua,40-44 años,DEFF,2.83,2.86,2.7
08 Chihuahua,45-49 años,Valor,"218,432","106,462","111,970"
08 Chihuahua,45-49 años,Error estándar,"4,641","2,432","2,506"
08 Chihuahua,45-49 años,Límite inferior de confianza,"210,797","102,461","107,848"
08 Chihuahua,45-49 años,Límite superior de confianza,"226,067","110,463","116,092"
08 Chihuahua,45-49 años,Coeficiente de variación,2.12,2.28,2.24
08 Chihuahua,45-49 años,DEFF,2.47,2.53,2.39
08 Chihuahua,50-54 años,Valor,"183,239","88,215","95,024"
08 Chihuahua,50-54 años,Error estándar,"3,879","2,046","2,160"
08 Chihuahua,50-54 años,Límite inferior de confianza,"176,858","84,850","91,471"
08 Chihuahua,50-54 años,Límite superior de confianza,"189,620","91,580","98,577"
08 Chihuahua,50-54 años,Coeficiente de variación,2.12,2.32,2.27
08 Chihuahua,50-54 años,DEFF,2.38,2.46,2.37
08 Chihuahua,55-59 años,Valor,"143,289","68,707","74,582"
08 Chihuahua,55-59 años,Error estándar,"3,087","1,619","1,774"
08 Chihuahua,55-59 años,Límite inferior de confianza,"138,211","66,044","71,664"
08 Chihuahua,55-59 años,Límite superior de confianza,"148,367","71,370","77,500"
08 Chihuahua,55-59 años,Coeficiente de variación,2.15,2.36,2.38
08 Chihuahua,55-59 años,DEFF,2.36,2.38,2.43
08 Chihuahua,60-64 años,Valor,"110,170","52,790","57,380"
08 Chihuahua,60-64 años,Error estándar,"2,580","1,282","1,586"
08 Chihuahua,60-64 años,Límite inferior de confianza,"105,926","50,680","54,771"
08 Chihuahua,60-64 años,Límite superior de confianza,"114,414","54,900","59,989"
08 Chihuahua,60-64 años,Coeficiente de variación,2.34,2.43,2.76
08 Chihuahua,60-64 años,DEFF,2.41,2.34,2.55
08 Chihuahua,65-69 años,Valor,"85,781","40,073","45,708"
08 Chihuahua,65-69 años,Error estándar,"2,017","1,058","1,266"
08 Chihuahua,65-69 años,Límite inferior de confianza,"82,462","38,332","43,626"
08 Chihuahua,65-69 años,Límite superior de confianza,"89,100","41,814","47,790"
08 Chihuahua,65-69 años,Coeficiente de variación,2.35,2.64,2.77
08 Chihuahua,65-69 años,DEFF,2.4,2.4,2.62
08 Chihuahua,70-74 años,Valor,"63,482","29,831","33,651"
08 Chihuahua,70-74 años,Error estándar,"1,602",826,"1,031"
08 Chihuahua,70-74 años,Límite inferior de confianza,"60,846","28,472","31,955"
08 Chihuahua,70-74 años,Límite superior de confianza,"66,118","31,190","35,347"
08 Chihuahua,70-74 años,Coeficiente de variación,2.52,2.77,3.06
08 Chihuahua,70-74 años,DEFF,2.52,2.29,2.85
08 Chihuahua,75 años y más,Valor,"82,520","38,719","43,801"
08 Chihuahua,75 años y más,Error estándar,"1,855",986,"1,126"
08 Chihuahua,75 años y más,Límite inferior de confianza,"79,469","37,097","41,948"
08 Chihuahua,75 años y más,Límite superior de confianza,"85,571","40,341","45,654"
08 Chihuahua,75 años y más,Coeficiente de variación,2.25,2.55,2.57
08 Chihuahua,75 años y más,DEFF,2.14,2.12,2.28
08 Chihuahua,No especificado,Valor,"1,530",764,766
08 Chihuahua,No especificado,Error estándar,160,103,99
08 Chihuahua,No especificado,Límite inferior de confianza,"1,267",595,603
08 Chihuahua,No especificado,Límite superior de confianza,"1,793",933,929
08 Chihuahua,No especificado,Coeficiente de variación,10.46,13.47,12.95
08 Chihuahua,No especificado,DEFF,2.47,2.5,2.21
09 Ciudad de México,Total,Valor,"8,918,653","4,231,650","4,687,003"
09 Ciudad de México,Total,Error estándar,"135,112","64,631","71,176"
09 Ciudad de México,Total,Límite inferior de confianza,"8,696,349","4,125,311","4,569,895"
09 Ciudad de México,Total,Límite superior de confianza,"9,140,957","4,337,989","4,804,111"
09 Ciudad de México,Total,Coeficiente de variación,1.51,1.53,1.52
09 Ciudad de México,Total,DEFF,0.77,0.51,0.52
09 Ciudad de México,00-04 años,Valor,"542,977","277,904","265,073"
09 Ciudad de México,00-04 años,Error estándar,"10,262","5,579","5,361"
09 Ciudad de México,00-04 años,Límite inferior de confianza,"526,093","268,724","256,252"
09 Ciudad de México,00-04 años,Límite superior de confianza,"559,861","287,084","273,894"
09 Ciudad de México,00-04 años,Coeficiente de variación,1.89,2.01,2.02
09 Ciudad de México,00-04 años,DEFF,0.48,0.53,0.52
09 Ciudad de México,05-09 años,Valor,"605,859","308,457","297,402"
09 Ciudad de México,05-09 años,Error estándar,"11,182","6,024","5,956"
09 Ciudad de México,05-09 años,Límite inferior de confianza,"587,461","298,545","287,602"
09 Ciudad de México,05-09 años,Límite superior de confianza,"624,257","318,369","307,202"
09 Ciudad de México,05-09 años,Coeficiente de variación,1.85,1.95,2
09 Ciudad de México,05-09 años,DEFF,0.49,0.53,0.56
09 Ciudad de México,10-14 años,Valor,"631,136","319,532","311,604"
09 Ciudad de México,10-14 años,Error estándar,"11,337","6,227","5,939"
09 Ciudad de México,10-14 años,Límite inferior de confianza,"612,483","309,286","301,833"
09 Ciudad de México,10-14 años,Límite superior de confianza,"649,789","329,778","321,375"
09 Ciudad de México,10-14 años,Coeficiente de variación,1.8,1.95,1.91
09 Ciudad de México,10-14 años,DEFF,0.47,0.53,0.51
09 Ciudad de México,15-19 años,Valor,"650,509","325,388","325,121"
09 Ciudad de México,15-19 años,Error estándar,"11,105","5,877","6,018"
09 Ciudad de México,15-19 años,Límite inferior de confianza,"632,238","315,719","315,220"
09 Ciudad de México,15-19 años,Límite superior de confianza,"668,780","335,057","335,022"
09 Ciudad de México,15-19 años,Coeficiente de variación,1.71,1.81,1.85
09 Ciudad de México,15-19 años,DEFF,0.45,0.48,0.5
09 Ciudad de México,20-24 años,Valor,"746,606","372,050","374,556"
09 Ciudad de México,20-24 años,Error estándar,"12,746","6,825","6,752"
09 Ciudad de México,20-24 años,Límite inferior de confianza,"725,635","360,820","363,446"
09 Ciudad de México,20-24 años,Límite superior de confianza,"767,577","383,280","385,666"
09 Ciudad de México,20-24 años,Coeficiente de variación,1.71,1.83,1.8
09 Ciudad de México,20-24 años,DEFF,0.46,0.51,0.5
09 Ciudad de México,25-29 años,Valor,"715,250","346,778","368,472"
09 Ciudad de México,25-29 años,Error estándar,"12,390","6,406","6,715"
09 Ciudad de México,25-29 años,Límite inferior de confianza,"694,864","336,238","357,423"
09 Ciudad de México,25-29 años,Límite superior de confianza,"735,636","357,318","379,521"
09 Ciudad de México,25-29 años,Coeficiente de variación,1.73,1.85,1.82
09 Ciudad de México,25-29 años,DEFF,0.46,0.51,0.49
09 Ciudad de México,30-34 años,Valor,"721,733","346,186","375,547"
09 Ciudad de México,30-34 años,Error estándar,"12,728","6,498","6,883"
09 Ciudad de México,30-34 años,Límite inferior de confianza,"700,791","335,495","364,222"
09 Ciudad de México,30-34 años,Límite superior de confianza,"742,675","356,877","386,872"
09 Ciudad de México,30-34 años,Coeficiente de variación,1.76,1.88,1.83
09 Ciudad de México,30-34 años,DEFF,0.48,0.52,0.5
09 Ciudad de México,35-39 años,Valor,"688,260","322,733","365,527"
09 Ciudad de México,35-39 años,Error estándar,"11,929","5,946","6,642"
09 Ciudad de México,35-39 años,Límite inferior de confianza,"668,634","312,950","354,599"
09 Ciudad de México,35-39 años,Límite superior de confianza,"707,886","332,516","376,455"
09 Ciudad de México,35-39 años,Coeficiente de variación,1.73,1.84,1.82
09 Ciudad de México,35-39 años,DEFF,0.46,0.5,0.49
09 Ciudad de México,40-44 años,Valor,"691,609","319,481","372,128"
09 Ciudad de México,40-44 años,Error estándar,"11,841","5,708","6,783"
09 Ciudad de México,40-44 años,Límite inferior de confianza,"672,127","310,089","360,969"
09 Ciudad de México,40-44 años,Límite superior de confianza,"711,091","328,873","383,287"
09 Ciudad de México,40-44 años,Coeficiente de variación,1.71,1.79,1.82
09 Ciudad de México,40-44 años,DEFF,0.46,0.48,0.51
09 Ciudad de México,45-49 años,Valor,"590,653","269,908","320,745"
09 Ciudad de México,45-49 años,Error estándar,"9,873","4,955","5,583"
09 Ciudad de México,45-49 años,Límite inferior de confianza,"574,409","261,755","311,559"
09 Ciudad de México,45-49 años,Límite superior de confianza,"606,897","278,061","329,931"
09 Ciudad de México,45-49 años,Coeficiente de variación,1.67,1.84,1.74
09 Ciudad de México,45-49 años,DEFF,0.45,0.51,0.48
09 Ciudad de México,50-54 años,Valor,"577,945","262,950","314,995"
09 Ciudad de México,50-54 años,Error estándar,"9,602","4,736","5,499"
09 Ciudad de México,50-54 años,Límite inferior de confianza,"562,147","255,158","305,947"
09 Ciudad de México,50-54 años,Límite superior de confianza,"593,743","270,742","324,043"
09 Ciudad de México,50-54 años,Coeficiente de variación,1.66,1.8,1.75
09 Ciudad de México,50-54 años,DEFF,0.46,0.51,0.51
09 Ciudad de México,55-59 años,Valor,"469,819","213,768","256,051"
09 Ciudad de México,55-59 años,Error estándar,"8,146","4,034","4,774"
09 Ciudad de México,55-59 años,Límite inferior de confianza,"456,416","207,130","248,196"
09 Ciudad de México,55-59 años,Límite superior de confianza,"483,222","220,406","263,906"
09 Ciudad de México,55-59 años,Coeficiente de variación,1.73,1.89,1.86
09 Ciudad de México,55-59 años,DEFF,0.5,0.57,0.55
09 Ciudad de México,60-64 años,Valor,"406,296","178,943","227,353"
09 Ciudad de México,60-64 años,Error estándar,"7,413","3,609","4,420"
09 Ciudad de México,60-64 años,Límite inferior de confianza,"394,099","173,004","220,081"
09 Ciudad de México,60-64 años,Límite superior de confianza,"418,493","184,882","234,625"
09 Ciudad de México,60-64 años,Coeficiente de variación,1.82,2.02,1.94
09 Ciudad de México,60-64 años,DEFF,0.55,0.62,0.59
09 Ciudad de México,65-69 años,Valor,"304,944","133,325","171,619"
09 Ciudad de México,65-69 años,Error estándar,"5,539","2,753","3,437"
09 Ciudad de México,65-69 años,Límite inferior de confianza,"295,830","128,795","165,964"
09 Ciudad de México,65-69 años,Límite superior de confianza,"314,058","137,855","177,274"
09 Ciudad de México,65-69 años,Coeficiente de variación,1.82,2.07,2
09 Ciudad de México,65-69 años,DEFF,0.53,0.62,0.6
09 Ciudad de México,70-74 años,Valor,"227,396","96,937","130,459"
09 Ciudad de México,70-74 años,Error estándar,"4,618","2,327","2,833"
09 Ciudad de México,70-74 años,Límite inferior de confianza,"219,797","93,108","125,798"
09 Ciudad de México,70-74 años,Límite superior de confianza,"234,995","100,766","135,120"
09 Ciudad de México,70-74 años,Coeficiente de variación,2.03,2.4,2.17
09 Ciudad de México,70-74 años,DEFF,0.62,0.74,0.67
09 Ciudad de México,75 años y más,Valor,"337,816","132,660","205,156"
09 Ciudad de México,75 años y más,Error estándar,"6,181","2,780","4,055"
09 Ciudad de México,75 años y más,Límite inferior de confianza,"327,646","128,085","198,484"
09 Ciudad de México,75 años y más,Límite superior de confianza,"347,986","137,235","211,828"
09 Ciudad de México,75 años y más,Coeficiente de variación,1.83,2.1,1.98
09 Ciudad de México,75 años y más,DEFF,0.52,0.61,0.57
09 Ciudad de México,No especificado,Valor,"9,845","4,650","5,195"
09 Ciudad de México,No especificado,Error estándar,"1,481",731,813
09 Ciudad de México,No especificado,Límite inferior de confianza,"7,408","3,447","3,858"
09 Ciudad de México,No especificado,Límite superior de confianza,"12,282","5,853","6,532"
09 Ciudad de México,No especificado,Coeficiente de variación,15.05,15.72,15.65
09 Ciudad de México,No especificado,DEFF,1.06,1.09,1.1
10 Durango,Total,Valor,"1,754,754","860,382","894,372"
10 Durango,Total,Error estándar,"30,819","15,085","16,043"
10 Durango,Total,Límite inferior de confianza,"1,704,053","835,566","867,979"
10 Durango,Total,Límite superior de confianza,"1,805,455","885,198","920,765"
10 Durango,Total,Coeficiente de variación,1.76,1.75,1.79
10 Durango,Total,DEFF,5.51,2.29,2.36
10 Durango,00-04 años,Valor,"174,435","89,052","85,383"
10 Durango,00-04 años,Error estándar,"3,730","2,074","1,987"
10 Durango,00-04 años,Límite inferior de confianza,"168,299","85,640","82,114"
10 Durango,00-04 años,Límite superior de confianza,"180,571","92,464","88,652"
10 Durango,00-04 años,Coeficiente de variación,2.14,2.33,2.33
10 Durango,00-04 años,DEFF,1.77,1.85,1.85
10 Durango,05-09 años,Valor,"171,205","86,260","84,945"
10 Durango,05-09 años,Error estándar,"3,441","1,903","1,876"
10 Durango,05-09 años,Límite inferior de confianza,"165,545","83,130","81,858"
10 Durango,05-09 años,Límite superior de confianza,"176,865","89,390","88,032"
10 Durango,05-09 años,Coeficiente de variación,2.01,2.21,2.21
10 Durango,05-09 años,DEFF,1.61,1.7,1.71
10 Durango,10-14 años,Valor,"170,550","86,324","84,226"
10 Durango,10-14 años,Error estándar,"3,378","1,895","1,846"
10 Durango,10-14 años,Límite inferior de confianza,"164,993","83,206","81,189"
10 Durango,10-14 años,Límite superior de confianza,"176,107","89,442","87,263"
10 Durango,10-14 años,Coeficiente de variación,1.98,2.2,2.19
